,latitude,longitude,brightness,acq_date,satellite,confidence,frp,fire_type
326,-12.7842,133.8588,316.2,2019-08-01,Aqua,52,53.0,0
327,-12.8384,132.8834,314.8,2019-08-01,Aqua,26,23.8,0
328,-12.3181,134.9072,314.5,2019-08-01,Aqua,37,48.1,0
329,-12.319,134.9024,314.8,2019-08-01,Aqua,42,53.4,0
330,-12.4504,133.0855,357.8,2019-08-01,Aqua,99,397.2,0
331,-12.4353,133.0819,321.4,2019-08-01,Aqua,64,57.9,0
332,-12.4329,133.1044,320.6,2019-08-01,Aqua,43,51.7,0
333,-12.4379,133.0754,333.7,2019-08-01,Aqua,84,139.2,0
334,-12.5048,131.4945,324.5,2019-08-01,Aqua,10,38.7,0
335,-12.5449,131.1883,318.5,2019-08-01,Aqua,63,20.7,0
336,-12.5103,131.4879,326.5,2019-08-01,Aqua,64,47.6,0
337,-12.4968,131.4855,321.1,2019-08-01,Aqua,30,28.7,0
338,-12.4307,131.177,330.8,2019-08-01,Aqua,82,67.1,0
339,-11.7408,131.0691,313.4,2019-08-01,Aqua,39,15.3,0
340,-11.6877,130.6695,319.3,2019-08-01,Aqua,71,27.7,0
341,-11.73,130.4163,321.3,2019-08-01,Aqua,28,29.5,0
342,-11.6749,130.6672,317.7,2019-08-01,Aqua,65,22.9,0
343,-11.6922,130.4092,324.4,2019-08-01,Aqua,37,37.7,0
344,-11.6797,130.407,329.7,2019-08-01,Aqua,51,55.0,0
345,-11.6671,130.4048,337.9,2019-08-01,Aqua,89,89.8,0
346,-11.6703,130.3859,341.5,2019-08-01,Aqua,91,104.8,0
347,-11.6677,130.3996,346.8,2019-08-01,Aqua,93,134.3,0
348,-11.6582,130.3785,332.4,2019-08-01,Aqua,84,64.3,0
349,-11.6613,130.3596,338.7,2019-08-01,Aqua,89,93.0,0
350,-11.6456,130.3764,319.7,2019-08-01,Aqua,49,23.2,0
351,-11.6488,130.3576,345.8,2019-08-01,Aqua,93,129.5,0
352,-11.6519,130.3385,347.1,2019-08-01,Aqua,94,136.9,0
353,-11.5189,130.2697,318.5,2019-08-01,Aqua,42,21.5,0
354,-11.4081,130.8389,348.3,2019-08-01,Aqua,94,174.7,0
355,-11.4117,130.8179,360.0,2019-08-01,Aqua,99,263.1,0
356,-11.5064,130.2674,319.9,2019-08-01,Aqua,48,25.0,0
357,-11.2365,131.8871,314.1,2019-08-01,Aqua,0,26.8,0
358,-11.4089,130.8551,311.8,2019-08-01,Aqua,19,21.2,0
359,-34.463,150.8819,303.9,2019-08-01,Terra,58,13.5,2
360,-25.0796,148.3843,301.6,2019-08-01,Terra,43,12.3,0
361,-20.7398,139.4731,307.1,2019-08-01,Terra,70,15.6,2
